MG-silicon, at plant | Scenario: 2025, pessimistic, BAU
electricity, at SOFC, tubular CHP, hybrid, 300kW | Scenario: 2025, realistic-optimistic, 440ppm
electricity, at SOFC, tubular CHP, hybrid, 300kW | Scenario: 2025, very optimistic, 440ppm
electricity, at SOFC, tubular CHP, hybrid, 300kW | Scenario: 2025, very optimistic, Renew
electricity, at SOFC, tubular CHP, hybrid, 300kW | Scenario: 2050, pessimistic, 440ppm
electricity, at SOFC, tubular CHP, hybrid, 300kW | Scenario: 2050, pessimistic, BAU
electricity, at SOFC, tubular CHP, hybrid, 300kW | Scenario: 2050, realistic-optimistic, 440ppm
electricity, at SOFC, tubular CHP, wood gas, 300kW | Scenario: 2025, very optimistic, 440ppm
electricity, at SOFC, tubular CHP, wood gas, 300kW | Scenario: 2025, very optimistic, Renew
electricity, at hi-eff. gasif. (poplar) w. ICE, emiss.ctrl., S. EU, all. exergy | Scenario: Today
electricity, at hi-effic. gasifier (poplar) w. ICE, emiss.ctrl., alloc. exergy | Scenario: Today
electricity, at hi-effic. gasifier (res.wood) w. ICE, emiss.ctrl., alloc. exergy | Scenario: Today
electricity, at offshore wind park 1068MW | Scenario: 2025, realistic-optimistic, 440ppm
electricity, at offshore wind park 1332MW | Scenario: 2025, very optimistic, 440ppm
electricity, at offshore wind park 1332MW | Scenario: 2025, very optimistic, Renew
electricity, at offshore wind park 1440MW | Scenario: 2050, pessimistic, 440ppm
electricity, at offshore wind park 1440MW | Scenario: 2050, pessimistic, BAU
electricity, at offshore wind park 160MW | Scenario: Today
electricity, at offshore wind park 1944MW | Scenario: 2050, realistic-optimistic, 440ppm
electricity, at offshore wind park 2496MW | Scenario: 2050, very optimistic, 440ppm
electricity, at offshore wind park 2496MW | Scenario: 2050, very optimistic, Renew
electricity, at offshore wind park 752MW | Scenario: 2025, pessimistic, 440ppm
electricity, at offshore wind park 752MW | Scenario: 2025, pessimistic, BAU
electricity, at proton exchange membrane fuel cell CHP 2kW | Scenario: 2025, pessimistic, 440ppm
electricity, at proton exchange membrane fuel cell CHP 2kW | Scenario: 2025, pessimistic, BAU
electricity, at proton exchange membrane fuel cell CHP 2kW | Scenario: 2025, realistic-optimistic, 440ppm
electricity, at proton exchange membrane fuel cell CHP 2kW | Scenario: 2025, very optimistic, 440ppm
electricity, at proton exchange membrane fuel cell CHP 2kW | Scenario: 2025, very optimistic, Renew
electricity, at proton exchange membrane fuel cell CHP 2kW | Scenario: 2050, pessimistic, 440ppm
electricity, at proton exchange membrane fuel cell CHP 2kW | Scenario: 2050, pessimistic, BAU
electricity, at proton exchange membrane fuel cell CHP 2kW | Scenario: 2050, realistic-optimistic, 440ppm
electricity, at proton exchange membrane fuel cell CHP 2kW | Scenario: 2050, very optimistic, 440ppm
electricity, at proton exchange membrane fuel cell CHP 2kW | Scenario: 2050, very optimistic, Renew
electricity, at proton exchange membrane fuel cell CHP 2kW | Scenario: Today
