Process Name,Product Flow,Unit,Carbon Footprint (kg CO2 eq),Status
"Electricity Mix, consumption mix, at consumer, AC, 220V",electricity mix,MJ,0.0499834321170782,Success
"Electricity Mix, consumption mix, at consumer, AC, 220V",electricity mix,MJ,0.0499834321170782,Success
"Electricity Mix, consumption mix, at consumer, AC, 220V",electricity mix,MJ,0.0499834321170782,Success
"Electricity Mix, consumption mix, at consumer, AC, 220V",electricity mix,MJ,0.0499834321170782,Success
"Electricity Mix, consumption mix, at consumer, AC, 220V",electricity mix,MJ,0.0499834321170782,Success
"Electricity Mix, consumption mix, at consumer, AC, 220V",electricity mix,MJ,0.0499834321170782,Success
"Electricity Mix, consumption mix, at consumer, AC, 220V",electricity mix,MJ,0.0499834321170782,Success
"Electricity Mix, consumption mix, at consumer, AC, 220V",electricity mix,MJ,0.0499834321170782,Success
"Electricity Mix, consumption mix, at consumer, AC, 230-240V",electricity mix,MJ,0.1848282500225575,Success
"Electricity Mix, consumption mix, at consumer, AC, 230V",electricity mix,MJ,0.0871713773821985,Success
"Electricity Mix, consumption mix, at consumer, AC, 230V",electricity mix,MJ,0.0871713773821985,Success
"Electricity Mix, consumption mix, at consumer, AC, 230V",electricity mix,MJ,0.0871713773821985,Success
"Electricity Mix, consumption mix, at consumer, AC, 230V",electricity mix,MJ,0.0871713773821985,Success
"Electricity Mix, consumption mix, at consumer, AC, 230V",electricity mix,MJ,0.0871713773821985,Success
"Electricity Mix, consumption mix, at consumer, AC, 230V",electricity mix,MJ,0.0871713773821985,Success
"Electricity Mix, consumption mix, at consumer, AC, 230V",electricity mix,MJ,0.0871713773821985,Success
"Electricity Mix, consumption mix, at consumer, AC, 230V",electricity mix,MJ,0.0871713773821985,Success
"Electricity Mix, consumption mix, at consumer, AC, 230V",electricity mix,MJ,0.0871713773821985,Success
"Electricity Mix, consumption mix, at consumer, AC, 230V",electricity mix,MJ,0.0871713773821985,Success
"Electricity Mix, consumption mix, at consumer, AC, 230V",electricity mix,MJ,0.0871713773821985,Success
"Electricity Mix, consumption mix, at consumer, AC, 230V",electricity mix,MJ,0.0871713773821985,Success
"Electricity Mix, consumption mix, at consumer, AC, 230V",electricity mix,MJ,0.0871713773821985,Success
"Electricity Mix, consumption mix, at consumer, AC, 230V",electricity mix,MJ,0.0871713773821985,Success
"Electricity Mix, consumption mix, at consumer, AC, 230V",electricity mix,MJ,0.0871713773821985,Success
"Electricity Mix, consumption mix, at consumer, AC, 240V",electricity mix,MJ,0.2990383568245375,Success
"Electricity Mix, consumption mix, at consumer, AC, 240V",electricity mix,MJ,0.2990383568245375,Success
"Electricity Mix, consumption mix, at consumer, AC, < 1kV",electricity mix,MJ,0.1635068289345739,Success
"Electricity Mix, consumption mix, at consumer, AC, < 1kV",electricity mix,MJ,0.1635068289345739,Success
"Electricity from hydro power, production mix, at power plant, AC, 230V",Electricity,MJ,0.0016743018673313,Success
"Electricity from hydroelectric power plants, production mix, at power plant, AC, < 1kV",electricity from hydroelectric power plant,MJ,0.0067755006092158,Success
"Electricity from wind power, production mix, at power plant, AC, < 1kV",electricity from wind power,MJ,0.0018458985974516,Success
"Electricity from wind power, production mix, at power plant, AC, <1kV",Electricity,MJ,0.0030766585743663,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Electricity,MJ,0.1204353504110576,Success
"Electricity grid mix, consumption mix, at consumer, AC, 220V",Electricity,MJ,0.0049460078801576,Success
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Electricity,MJ,0.1363664331067576,Success
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Electricity,MJ,0.1363664331067576,Success
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Electricity,MJ,0.1363664331067576,Success
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Electricity,MJ,0.1363664331067576,Success
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Electricity,MJ,0.1363664331067576,Success
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Electricity,MJ,0.1363664331067576,Success
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Electricity,MJ,0.1363664331067576,Success
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Electricity,MJ,0.1363664331067576,Success
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Electricity,MJ,0.1363664331067576,Success
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Electricity,MJ,0.1363664331067576,Success
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Electricity,MJ,0.1363664331067576,Success
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Electricity,MJ,0.1363664331067576,Success
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Electricity,MJ,0.1363664331067576,Success
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Electricity,MJ,0.1363664331067576,Success
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Electricity,MJ,0.1363664331067576,Success
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Electricity,MJ,0.1363664331067576,Success
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Electricity,MJ,0.1363664331067576,Success
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Electricity,MJ,0.1363664331067576,Success
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Electricity,MJ,0.1363664331067576,Success
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Electricity,MJ,0.1363664331067576,Success
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Electricity,MJ,0.1363664331067576,Success
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Electricity,MJ,0.1363664331067576,Success
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Electricity,MJ,0.1363664331067576,Success
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Electricity,MJ,0.1363664331067576,Success
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Electricity,MJ,0.1363664331067576,Success
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Electricity,MJ,0.1363664331067576,Success
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Electricity,MJ,0.1363664331067576,Success
