Process Name,Product Flow,Unit,Carbon Footprint (kg CO2 eq),Status
"electricity, at SOFC, tubular CHP, wood gas, 300kW | Scenario: 2025, very optimistic, 440ppm","electricity, at SOFC, tubular CHP, wood gas, 300kW",kWh,0.056243549895687,Success
"electricity, at SOFC, tubular CHP, wood gas, 300kW | Scenario: 2025, very optimistic, Renew","electricity, at SOFC, tubular CHP, wood gas, 300kW",kWh,0.05427703621262047,Success
"electricity, at hi-eff. gasif. (poplar) w. ICE, emiss.ctrl., S. EU, all. exergy | Scenario: Today","electricity, at hi-eff. gasif. (poplar) w. ICE, emiss.ctrl., S. EU, all. exergy",kWh,0.06397240791188132,Success
"electricity, at hi-effic. gasifier (poplar) w. ICE, emiss.ctrl., alloc. exergy | Scenario: Today","electricity, at hi-effic. gasifier (poplar) w. ICE, emiss.ctrl., alloc. exergy",kWh,0.05641498438243125,Success
"electricity, at hi-effic. gasifier (res.wood) w. ICE, emiss.ctrl., alloc. exergy | Scenario: Today","electricity, at hi-effic. gasifier (res.wood) w. ICE, emiss.ctrl., alloc. exergy",kWh,0.03700403268163434,Success
"electricity, at offshore wind park 1068MW | Scenario: 2025, realistic-optimistic, 440ppm","electricity, at offshore wind park 1068MW",kWh,0.002411122541679453,Success
"electricity, at offshore wind park 1332MW | Scenario: 2025, very optimistic, 440ppm","electricity, at offshore wind park 1332MW",kWh,0.005073801079877837,Success
"electricity, at offshore wind park 1332MW | Scenario: 2025, very optimistic, Renew","electricity, at offshore wind park 1332MW",kWh,0.005037221657934764,Success
"electricity, at offshore wind park 1440MW | Scenario: 2050, pessimistic, 440ppm","electricity, at offshore wind park 1440MW",kWh,0.0061792999481943235,Success
"electricity, at offshore wind park 1440MW | Scenario: 2050, pessimistic, BAU","electricity, at offshore wind park 1440MW",kWh,0.006689934629478574,Success
"electricity, at offshore wind park 160MW | Scenario: Today","electricity, at offshore wind park 160MW",kWh,0.007460274303099807,Success
"electricity, at offshore wind park 1944MW | Scenario: 2050, realistic-optimistic, 440ppm","electricity, at offshore wind park 1944MW",kWh,0.002383345527259861,Success
"electricity, at offshore wind park 2496MW | Scenario: 2050, very optimistic, 440ppm","electricity, at offshore wind park 2496MW",kWh,0.0024939081104989923,Success
"electricity, at offshore wind park 2496MW | Scenario: 2050, very optimistic, Renew","electricity, at offshore wind park 2496MW",kWh,0.0025539037791701587,Success
"electricity, at offshore wind park 752MW | Scenario: 2025, pessimistic, 440ppm","electricity, at offshore wind park 752MW",kWh,0.0022625926557568845,Success
"electricity, at offshore wind park 752MW | Scenario: 2025, pessimistic, BAU","electricity, at offshore wind park 752MW",kWh,0.0024004786231208823,Success
"electricity, at proton exchange membrane fuel cell CHP 2kW | Scenario: 2025, pessimistic, 440ppm","electricity, at proton exchange membrane fuel cell CHP 2kW",kWh,1.2525895361496522,Success
"electricity, at proton exchange membrane fuel cell CHP 2kW | Scenario: 2025, pessimistic, BAU","electricity, at proton exchange membrane fuel cell CHP 2kW",kWh,1.2537527124045005,Success
"electricity, at proton exchange membrane fuel cell CHP 2kW | Scenario: 2025, realistic-optimistic, 440ppm","electricity, at proton exchange membrane fuel cell CHP 2kW",kWh,0.9952472073879347,Success
"electricity, at proton exchange membrane fuel cell CHP 2kW | Scenario: 2025, very optimistic, 440ppm","electricity, at proton exchange membrane fuel cell CHP 2kW",kWh,0.9785988899681385,Success
"electricity, at proton exchange membrane fuel cell CHP 2kW | Scenario: 2025, very optimistic, Renew","electricity, at proton exchange membrane fuel cell CHP 2kW",kWh,0.9784404183891191,Success
"electricity, at proton exchange membrane fuel cell CHP 2kW | Scenario: 2050, pessimistic, 440ppm","electricity, at proton exchange membrane fuel cell CHP 2kW",kWh,1.2490208443565962,Success
"electricity, at proton exchange membrane fuel cell CHP 2kW | Scenario: 2050, pessimistic, BAU","electricity, at proton exchange membrane fuel cell CHP 2kW",kWh,1.2514087261356532,Success
"electricity, at proton exchange membrane fuel cell CHP 2kW | Scenario: 2050, realistic-optimistic, 440ppm","electricity, at proton exchange membrane fuel cell CHP 2kW",kWh,0.9666900286308096,Success
"electricity, at proton exchange membrane fuel cell CHP 2kW | Scenario: 2050, very optimistic, 440ppm","electricity, at proton exchange membrane fuel cell CHP 2kW",kWh,0.885127050454631,Success
